Code,Category,Examples
A,Client Authority,service/fee agreement;
B,Know Your Client,"Fact find; Client personal details; estate details; tax details; health details; dependants; employments and earned income; assets, liabilities and existing provisions (protection, investment, pension, annuity etc); eligibility; other incomes and expenditures; affordability; Goals (high level demands and needs); "
C,Meetings & Communications,"Meeting and presentation recordings/transcripts; file notes; phone calls; emails; follow-ups; evidence of questions, explanations and client responses"
D,"Risk, Capacity & Experience",ATR questionnaire; capacity-for-loss assessment; risk reconciliation; investment knowledge/experience; vulnerability/support assessment;
E,Existing Plans & Portfolios,"Plan, portfolio and provider information; existing plan holdings & valuations; policy schedules; scheme booklets; guarantees/penalties; existing charges; asset allocation"
F,Needs Analysis,Needs Analysis; need level risk; need time horizon; need shortfalls; accumulation and decumulation modelling projections; asset allocation analysis; cashflow planning scenarios; stress tests; tax optimisation; 
G,Research,Research notes; provider/platform/product/fund comparison; portfolio analysis; replacement & switching analysis and rationale; safeguarded benefits; RIY/Impact of charges; tax analysis; 
H,Solution Design,Solution details; transaction details; quotes & illustrations; KIDs/KIIDs/KFDs; fund factsheets; costs & charges analysis; performance/volatility material; investment strategies; risk warnings; alternatives
I,Recommendations & Advice,Suitability report; Goals/Needs (demands/needs); recommendations and rationale; alternatives; disadvantages; tax implications (where applicable); client-specific risks; review report
